id,nivel_id,valor,manifestacao,exemplos,ordem
1,1,Obsessão pelo Cliente,Começo a entender como meu trabalho impacta clientes. Faço perguntas sobre contexto de negócio.,,1
2,2,Obsessão pelo Cliente,Começo a entender como meu trabalho impacta clientes. Faço perguntas sobre contexto de negócio.,,1
3,3,Obsessão pelo Cliente,Compreendo profundamente o contexto dos clientes. Antecipo dores e proponho soluções que geram impacto real.,,1
4,4,Obsessão pelo Cliente,Profunda compreensão de clientes. Influencio decisões de produto para maximizar valor. Antecipo necessidades futuras.,,1
5,5,Obsessão pelo Cliente,Defino estratégia técnica baseada profundamente em necessidades de clientes. Influencio decisões de produto em alto nível.,,1
6,6,Obsessão pelo Cliente,Defino estratégia técnica baseada profundamente em necessidades de clientes. Influencio decisões de produto em alto nível.,,1
7,7,Obsessão pelo Cliente,Crio vantagem competitiva através de entendimento único dos clientes. Alinho estratégia técnica com visão de negócio.,,1
8,1,Paixão por Inovar,Experimento com novas ferramentas em tarefas supervisionadas. Aprendo com erros e compartilho learnings.,,2
9,2,Paixão por Inovar,Experimento com novas ferramentas em tarefas supervisionadas. Aprendo com erros e compartilho learnings.,,2
10,3,Paixão por Inovar,Experimento novas abordagens com responsabilidade. Aprendo rápido com o que funciona ou não. Melhoro continuamente sistemas e processos.,,2
11,4,Paixão por Inovar,Empurro limites técnicos e de produto. Experimento com novas abordagens e compartilho aprendizados amplamente.,,2
12,5,Paixão por Inovar,Conduzo inovação técnica significativa. Introduzo novas tecnologias e abordagens que transformam capacidades organizacionais.,,2
13,6,Paixão por Inovar,Conduzo inovação técnica significativa. Introduzo novas tecnologias e abordagens que transformam capacidades organizacionais.,,2
14,7,Paixão por Inovar,Defino o que é state-of-the-art na empresa. Crio inovações que se tornam vantagem competitiva. Influencio indústria.,,2
15,1,Agilidade para Resultado,"Cumpro prazos acordados. Aviso proativamente quando não conseguirei, sugerindo alternativas.",,3
16,2,Agilidade para Resultado,"Cumpro prazos acordados. Aviso proativamente quando não conseguirei, sugerindo alternativas.",,3
17,3,Agilidade para Resultado,"Fecho ciclos com consistência, reduzo retrabalho e tomo decisões técnicas com foco em impacto, não em perfeccionismo.",,3
18,4,Agilidade para Resultado,Entrego consistentemente objetivos de alto impacto. Simplifico e priorizo impiedosamente. Balanço qualidade com velocidade.,,3
19,5,Agilidade para Resultado,Entrego objetivos multi-ano e multi-time. Mantenho foco mesmo com alta ambiguidade e mudanças. Desbloqueo organizações.,,3
20,6,Agilidade para Resultado,Entrego objetivos multi-ano e multi-time. Mantenho foco mesmo com alta ambiguidade e mudanças. Desbloqueo organizações.,,3
21,7,Agilidade para Resultado,Conduzo mudanças organizacionais de grande impacto. Crio alavancas estruturais que aceleram toda empresa.,,3
22,1,Fazer Mais com Menos,"Busco soluções simples sob orientação, evitando over-engineering. Reutilizo código e componentes existentes.",,4
23,2,Fazer Mais com Menos,"Busco soluções simples sob orientação, evitando over-engineering. Reutilizo código e componentes existentes.",,4
24,3,Fazer Mais com Menos,"Simplifico fluxos, reduzo complexidade técnica desnecessária e busco eficiência em performance, custo e manutenção.",,4
25,4,Fazer Mais com Menos,Otimizo para eficiência em escala de time. Crio soluções que podem ser reusadas e adaptadas. Gerencio custos conscientemente.,,4
26,5,Fazer Mais com Menos,Crio soluções e plataformas que permitem múltiplos times serem mais eficientes. Reduzo custos em escala.,,4
27,6,Fazer Mais com Menos,Crio soluções e plataformas que permitem múltiplos times serem mais eficientes. Reduzo custos em escala.,,4
28,7,Fazer Mais com Menos,Crio frameworks e plataformas que multiplicam produtividade de toda organização. Otimizo custos em nível estratégico.,,4
29,1,Juntos!,"Coopero com pares, ajudo quando posso e peço ajuda quando preciso. Contribuo para um time forte e colaborativo.",,5
30,2,Juntos!,"Coopero com pares, ajudo quando posso e peço ajuda quando preciso. Contribuo para um time forte e colaborativo.",,5
31,3,Juntos!,"Trabalho de forma colaborativa, promovo conflitos produtivos, ensino e aprendo com o time. Ajudo a criar ambiente de confiança.",,5
32,4,Juntos!,Elevo capacidade de todo o time. Construo pontes entre times e disciplinas. Desenvolvo futuros líderes.,,5
33,5,Juntos!,Elevo capacidade de múltiplos times. Quebro silos e construo pontes organizacionais. Mentoro outros líderes técnicos.,,5
34,6,Juntos!,Elevo capacidade de múltiplos times. Quebro silos e construo pontes organizacionais. Mentoro outros líderes técnicos.,,5
35,7,Juntos!,Transformo capacidade organizacional através de liderança técnica. Construo cultura de excelência e colaboração em escala.,,5
